,pickup_zone,drop_zone
111401,Highbridge,Lenox Hill West
111414,Kew Gardens Hills,Hillcrest/Pomonok
111444,Elmhurst/Maspeth,Union Sq
111450,College Point,Bushwick North
111455,Sunset Park East,Dyker Heights
111584,Washington Heights South,Brighton Beach
111612,Cobble Hill,Coney Island
111860,Kew Gardens Hills,Kew Gardens
111909,Downtown Brooklyn/MetroTech,Starrett City
111910,Prospect Heights,UN/Turtle Bay South
111963,Elmhurst,Laurelton
112045,Flushing,Sunnyside
112056,Inwood,Upper West Side North
112087,Upper East Side North,Windsor Terrace
112120,Prospect-Lefferts Gardens,Clinton Hill
112216,Van Cortlandt Village,Washington Heights South
112270,Williamsburg (North Side),South Williamsburg
112385,Upper East Side North,University Heights/Morris Heights
112402,Steinway,Midtown South
112462,Central Park,Midwood
112506,East Flatbush/Farragut,Crown Heights South
112542,Saint Albans,Elmhurst/Maspeth
112570,Morningside Heights,Howard Beach
112687,Elmhurst,Two Bridges/Seward Park
112755,Upper East Side North,Woodside
112758,Elmhurst/Maspeth,Carroll Gardens
112764,Marble Hill,Washington Heights South
112806,Elmhurst/Maspeth,East Village
112847,Elmhurst/Maspeth,Upper West Side South
112873,East Harlem South,Columbia Street
112904,Fort Greene,Green-Wood Cemetery
112992,Carroll Gardens,Kips Bay
113025,Sunset Park East,Lower East Side
113058,Bensonhurst East,Coney Island
113082,Glendale,Richmond Hill
113168,Central Harlem North,Chinatown
113169,Auburndale,Auburndale
113170,Auburndale,South Ozone Park
113197,Crotona Park East,Mott Haven/Port Morris
113482,Kew Gardens Hills,East Williamsburg
113536,Melrose South,Lenox Hill East
113537,Woodside,Fresh Meadows
113561,Brooklyn Heights,East Harlem North
113574,Steinway,Saint Michaels Cemetery/Woodside
113612,Maspeth,Fresh Meadows
113652,Astoria,Allerton/Pelham Gardens
113664,East Concourse/Concourse Village,Lenox Hill East
113686,Riverdale/North Riverdale/Fieldston,Washington Heights South
113690,Springfield Gardens North,Richmond Hill
113748,Flushing,Upper West Side North
113779,Allerton/Pelham Gardens,Fordham South
113827,Midtown South,Murray Hill
113846,Midwood,Alphabet City
113889,Sunset Park West,Fort Greene
113967,Forest Park/Highland Park,JFK Airport
114053,Hamilton Heights,Co-Op City
114093,Steinway,Battery Park City
114106,Bedford,Red Hook
114198,Green-Wood Cemetery,Park Slope
114213,Westchester Village/Unionport,Claremont/Bathgate
114232,Central Park,Financial District South
114307,Clinton Hill,Yorkville West
114397,Sunnyside,Penn Station/Madison Sq West
114565,Manhattanville,Williamsbridge/Olinville
114580,Forest Hills,Laurelton
114608,East Tremont,Belmont
114754,Sheepshead Bay,Park Slope
114766,Claremont/Bathgate,Longwood
114797,Park Slope,Yorkville West
114813,Carroll Gardens,Prospect Heights
114835,Williamsburg (North Side),Columbia Street
114866,Bronxdale,Belmont
114903,Park Slope,Steinway
114989,Prospect-Lefferts Gardens,Woodside
115121,Upper East Side North,Washington Heights North
115123,DUMBO/Vinegar Hill,Clinton West
115259,Flatlands,Coney Island
115355,Bedford,Woodside
115572,University Heights/Morris Heights,Allerton/Pelham Gardens
115581,Van Nest/Morris Park,Briarwood/Jamaica Hills
115584,Whitestone,Woodside
115729,Queensbridge/Ravenswood,Bushwick North
115734,Bedford,Garment District
115749,Riverdale/North Riverdale/Fieldston,Norwood
115773,Mott Haven/Port Morris,East Village
115823,Belmont,Crotona Park
115840,South Ozone Park,Elmhurst/Maspeth
115945,Park Slope,Midtown East
115959,Brooklyn Heights,Astoria
116008,Bedford Park,East Tremont
116128,Fort Greene,Springfield Gardens North
116168,Jackson Heights,Hamilton Heights
116175,Manhattanville,Newark Airport
116249,Jamaica,East Harlem North
116255,Prospect-Lefferts Gardens,Bensonhurst East
116312,Corona,East Flatbush/Farragut
116375,Homecrest,South Ozone Park
116573,Brooklyn Navy Yard,Central Harlem
116775,Downtown Brooklyn/MetroTech,Madison
116787,Upper East Side North,West Concourse
116812,Soundview/Bruckner,East Harlem North
116825,Hunts Point,East Harlem North
116908,Yorkville West,JFK Airport
117009,Allerton/Pelham Gardens,Parkchester
117023,Elmhurst,World Trade Center
117210,Boerum Hill,Middle Village
117234,East New York,Crown Heights North
117243,Morningside Heights,Bushwick North
117244,Carroll Gardens,Williamsburg (South Side)
117279,Glendale,Ridgewood
117295,Queensboro Hill,Whitestone
117302,Bushwick North,Saint Michaels Cemetery/Woodside
117303,East Harlem North,Pelham Bay Park
117308,Melrose South,Clinton East
117330,Williamsburg (North Side),Crown Heights South
117348,Greenpoint,Briarwood/Jamaica Hills
117374,Sunnyside,Jamaica
117572,South Jamaica,Jackson Heights
117626,Glendale,Jamaica
117700,Clinton Hill,Coney Island
117765,Central Harlem North,Flushing Meadows-Corona Park
117768,Central Park,South Ozone Park
117818,Stuyvesant Heights,East New York/Pennsylvania Avenue
117878,Central Harlem North,Downtown Brooklyn/MetroTech
117928,Melrose South,Steinway
117951,Forest Hills,Hammels/Arverne
117963,Prospect-Lefferts Gardens,Financial District North
118091,Soundview/Castle Hill,Central Park
118112,Woodside,Howard Beach
118258,Spuyten Duyvil/Kingsbridge,Washington Heights South
118369,Bay Ridge,Park Slope
118390,Middle Village,Jamaica
118427,Elmhurst,Saint Albans
118437,Forest Park/Highland Park,Rego Park
118440,Van Nest/Morris Park,East Harlem South
118455,Hollis,East Flatbush/Farragut
118458,Upper East Side North,Financial District South
118593,Bloomingdale,Forest Hills
118599,Morrisania/Melrose,Crotona Park East
118889,Boerum Hill,Seaport
118917,LaGuardia Airport,Queens Village
118930,Park Slope,Saint George/New Brighton
118957,Belmont,Schuylerville/Edgewater Park
118973,Gowanus,Dyker Heights
119155,West Concourse,Crotona Park East
119222,Parkchester,East Harlem North
119230,Hunts Point,Mount Hope
119262,Jackson Heights,Claremont/Bathgate
119356,Briarwood/Jamaica Hills,Jamaica Estates
119402,Maspeth,Long Island City/Hunters Point
119439,Central Harlem,Roosevelt Island
119441,Williamsburg (North Side),West Chelsea/Hudson Yards
119442,Kew Gardens,East Flushing
119465,Penn Station/Madison Sq West,Upper East Side South
119484,Longwood,Crotona Park
119622,Carroll Gardens,Greenwich Village South
119632,Park Slope,Long Island City/Hunters Point
119655,West Farms/Bronx River,Schuylerville/Edgewater Park
119671,Greenpoint,Boerum Hill
119685,Jackson Heights,Homecrest
119705,Bushwick North,Times Sq/Theatre District
119721,Inwood,Highbridge Park
119728,Crown Heights North,Midtown East
119741,East Williamsburg,East Harlem North
119800,Highbridge Park,UN/Turtle Bay South
119816,Brooklyn Heights,Briarwood/Jamaica Hills
119834,Forest Hills,Pelham Parkway
119865,Astoria,Prospect Park
119873,South Williamsburg,Springfield Gardens North
119931,Washington Heights North,Bronx Park
119956,Coney Island,Borough Park
119970,South Ozone Park,Baisley Park
119985,Crown Heights North,Alphabet City
120005,Long Island City/Queens Plaza,Springfield Gardens South
120009,East Harlem North,Downtown Brooklyn/MetroTech
120063,Flushing Meadows-Corona Park,Midtown East
120102,Yorkville West,Manhattanville
120127,Williamsburg (South Side),LaGuardia Airport
120159,Washington Heights North,Lower East Side
120161,Astoria,Prospect Heights
120180,Long Island City/Hunters Point,Murray Hill
120208,Kew Gardens Hills,JFK Airport
120222,Bloomingdale,Chinatown
120347,East Elmhurst,South Ozone Park
120359,Spuyten Duyvil/Kingsbridge,Morningside Heights
120415,Highbridge,Washington Heights North
120488,Astoria,Hunts Point
120508,Woodside,East Village
120646,Prospect Park,Stuyvesant Heights
120657,Bedford,Coney Island
120660,Sunnyside,Brooklyn Heights
120662,Fort Greene,Upper West Side North
120776,Prospect Heights,Greenpoint
120790,Queensbridge/Ravenswood,Flushing Meadows-Corona Park
120821,Van Cortlandt Village,Morningside Heights
121070,JFK Airport,Garment District
121097,East Williamsburg,Prospect-Lefferts Gardens
121144,Greenpoint,Sutton Place/Turtle Bay North
121197,Morrisania/Melrose,Norwood
121198,Norwood,Washington Heights North
121207,Carroll Gardens,Stuy Town/Peter Cooper Village
121208,Morningside Heights,Clinton Hill
121220,Old Astoria,Union Sq
121284,East Tremont,Co-Op City
121300,Marine Park/Mill Basin,Elmhurst
121325,Kingsbridge Heights,University Heights/Morris Heights
121361,Prospect Heights,Bay Ridge
121394,Van Nest/Morris Park,University Heights/Morris Heights
121425,Jackson Heights,Far Rockaway
121429,Brownsville,Richmond Hill
121430,Gowanus,Washington Heights South
121483,Jackson Heights,Springfield Gardens North
121561,Fort Greene,Jamaica
121571,Williamsburg (South Side),Long Island City/Queens Plaza
121593,Williamsburg (North Side),Corona
121616,East Williamsburg,Midtown Center
121619,Manhattanville,Claremont/Bathgate
121620,Claremont/Bathgate,Washington Heights South
121628,Long Island City/Hunters Point,Bloomingdale
121630,East Williamsburg,Murray Hill
121658,Van Nest/Morris Park,Inwood
121690,Woodside,Little Italy/NoLiTa
121735,Williamsburg (North Side),LaGuardia Airport
121736,South Williamsburg,Seaport
121789,Queensboro Hill,Long Island City/Hunters Point
121814,Washington Heights South,DUMBO/Vinegar Hill
121961,South Ozone Park,Flushing Meadows-Corona Park
121999,Old Astoria,East Village
122014,Saint George/New Brighton,South Beach/Dongan Hills
122059,Van Cortlandt Village,Kingsbridge Heights
122104,Bedford Park,Inwood Hill Park
122125,Kensington,Coney Island
122174,Inwood,East Chelsea
122182,Morningside Heights,Inwood Hill Park
122228,Washington Heights North,Schuylerville/Edgewater Park
122246,Woodside,Greenwich Village North
122266,Downtown Brooklyn/MetroTech,Longwood
122306,Old Astoria,Howard Beach
122327,East New York,Flushing
122373,South Ozone Park,Coney Island
122414,Highbridge Park,JFK Airport
122498,Windsor Terrace,Gowanus
122618,Soundview/Bruckner,Hamilton Heights
122685,Sunnyside,Clinton West
122687,Downtown Brooklyn/MetroTech,Old Astoria
122804,Prospect Heights,Lincoln Square East
122822,Stapleton,Stapleton
122870,Rego Park,Bellerose
122875,Sunset Park West,Upper West Side South
122984,Sunnyside,Bedford
122989,Upper East Side North,Old Astoria
123004,Morningside Heights,Ridgewood
123022,Mott Haven/Port Morris,Woodhaven
123043,Stuyvesant Heights,Greenwich Village North
123083,Glendale,Cypress Hills
123090,Flushing,Inwood
123124,Jackson Heights,Sunset Park West
123131,Washington Heights North,West Village
123144,Sunset Park West,Erasmus
123168,Highbridge,Morningside Heights
123241,Queensbridge/Ravenswood,Sutton Place/Turtle Bay North
123304,Yorkville West,Kips Bay
123328,Claremont/Bathgate,Pelham Parkway
123344,Bath Beach,Columbia Street
123387,Whitestone,Middle Village
123459,Queensbridge/Ravenswood,Crown Heights North
123485,Prospect-Lefferts Gardens,Erasmus
123494,Kew Gardens Hills,Elmhurst/Maspeth
123532,Morningside Heights,Sunset Park West
123637,Cambria Heights,Queens Village
123758,Crotona Park East,Hamilton Heights
123837,Old Astoria,Flushing
123866,Hunts Point,Woodlawn/Wakefield
123881,Flushing Meadows-Corona Park,South Ozone Park
123948,Kensington,UN/Turtle Bay South
123978,Red Hook,Sutton Place/Turtle Bay North
123995,Richmond Hill,Hudson Sq
124258,Hillcrest/Pomonok,Corona
124260,Ozone Park,Glendale
124352,Boerum Hill,Brighton Beach
124521,Morningside Heights,Middle Village
124721,LaGuardia Airport,Brooklyn Heights
124748,Norwood,Riverdale/North Riverdale/Fieldston
124763,DUMBO/Vinegar Hill,Ocean Parkway South
124780,Pelham Parkway,Fordham South
124802,Belmont,Kingsbridge Heights
124906,Elmhurst,Flatbush/Ditmas Park
124928,Ocean Hill,Forest Hills
124929,Long Island City/Queens Plaza,Inwood
124949,Morningside Heights,Kew Gardens Hills
124965,Upper East Side North,Chinatown
124990,East Williamsburg,Rego Park
125011,Brighton Beach,Flushing Meadows-Corona Park
125037,Belmont,East Concourse/Concourse Village
125105,Flushing,Prospect-Lefferts Gardens
125111,Highbridge,Crotona Park East
125116,Cypress Hills,Glendale
125160,Jackson Heights,Jamaica Estates
125176,Bushwick North,Bay Ridge
125197,Hillcrest/Pomonok,North Corona
125209,Spuyten Duyvil/Kingsbridge,Inwood
125238,Fordham South,Westchester Village/Unionport
125278,Middle Village,LaGuardia Airport
125312,Forest Hills,Battery Park City
125497,North Corona,Glendale
125533,Red Hook,Penn Station/Madison Sq West
125550,Red Hook,Garment District
125556,Red Hook,Bloomingdale
125674,Madison,Erasmus
125678,Red Hook,Prospect Heights
125711,Sheepshead Bay,Midtown Center
125727,Jamaica,Saint Michaels Cemetery/Woodside
125734,Upper East Side North,Soundview/Bruckner
125754,Morningside Heights,Flatbush/Ditmas Park
125772,Riverdale/North Riverdale/Fieldston,Greenwich Village North
125859,Morrisania/Melrose,LaGuardia Airport
125978,Crown Heights North,Washington Heights South
125991,Mott Haven/Port Morris,Van Nest/Morris Park
126048,Van Nest/Morris Park,Van Cortlandt Village
126091,Mott Haven/Port Morris,Midtown Center
126120,Central Harlem North,South Ozone Park
126123,Spuyten Duyvil/Kingsbridge,Van Cortlandt Park
126144,Elmhurst,Far Rockaway
126169,Queens Village,Kew Gardens
126170,Woodside,Prospect-Lefferts Gardens
126191,Bronxdale,Washington Heights South
126224,Borough Park,South Williamsburg
126241,Kew Gardens,Yorkville West
126318,Hillcrest/Pomonok,Murray Hill-Queens
126328,Norwood,Garment District
126435,East Elmhurst,Murray Hill-Queens
126502,Briarwood/Jamaica Hills,Baisley Park
126664,Washington Heights North,East Tremont
126819,Bensonhurst East,Brighton Beach
126904,East Harlem South,North Corona
126909,Old Astoria,Lower East Side
126962,Flushing Meadows-Corona Park,North Corona
126994,Washington Heights North,Bloomingdale
127033,LaGuardia Airport,Clinton Hill
127253,Flatbush/Ditmas Park,Borough Park
127323,Cobble Hill,Central Harlem North
127328,Clinton Hill,Windsor Terrace
127329,Greenpoint,UN/Turtle Bay South
127377,Kew Gardens,Springfield Gardens North
127406,Greenpoint,Flatbush/Ditmas Park
127407,Old Astoria,Midtown North
127416,Washington Heights North,Midtown North
127459,Long Island City/Hunters Point,East Harlem North
127461,Canarsie,Flatbush/Ditmas Park
127526,Long Island City/Hunters Point,Saint Albans
127651,Glendale,Middle Village
127661,University Heights/Morris Heights,JFK Airport
127778,Fresh Meadows,LaGuardia Airport
127805,Upper East Side North,Times Sq/Theatre District
127809,Woodlawn/Wakefield,Belmont
127814,Hamilton Heights,Elmhurst
127841,Randalls Island,Fort Greene
127844,Queensbridge/Ravenswood,Times Sq/Theatre District
127855,Forest Hills,Rosedale
127917,Queensbridge/Ravenswood,Central Park
127960,Kew Gardens,Downtown Brooklyn/MetroTech
128000,Upper East Side North,South Williamsburg
128060,Midwood,Kensington
128101,Old Astoria,Queensboro Hill
128141,Kensington,Lenox Hill West
128179,Washington Heights South,Gowanus
128245,Hunts Point,East Harlem South
128319,Brighton Beach,Madison
128389,Washington Heights South,Red Hook
128459,Yorkville East,Astoria
128502,East Harlem South,Glen Oaks
128523,East Harlem South,East New York
128609,Brooklyn Navy Yard,Glendale
128690,Greenpoint,Glendale
128907,Park Slope,Bath Beach
128912,Flushing Meadows-Corona Park,Highbridge
128937,East Elmhurst,Morrisania/Melrose
128944,Red Hook,Windsor Terrace
128954,Williamsburg (South Side),Brooklyn Navy Yard
128957,Coney Island,Central Park
128976,Crown Heights South,Kensington
128989,East Tremont,Lincoln Square East
129188,Claremont/Bathgate,Spuyten Duyvil/Kingsbridge
129189,Spuyten Duyvil/Kingsbridge,East Concourse/Concourse Village
129279,Soundview/Bruckner,West Concourse
129420,Kensington,Prospect-Lefferts Gardens
129429,Steinway,Maspeth
129460,Allerton/Pelham Gardens,East Tremont
129479,University Heights/Morris Heights,Central Harlem
129491,Van Cortlandt Park,University Heights/Morris Heights
129593,Bedford,Downtown Brooklyn/MetroTech
129726,Fordham South,Fordham South
129741,Downtown Brooklyn/MetroTech,Washington Heights South
129760,East Flatbush/Remsen Village,East Flatbush/Farragut
129763,Crown Heights North,Hamilton Heights
129901,Flatbush/Ditmas Park,Newark Airport
129921,Bayside,Steinway
130046,Kew Gardens,UN/Turtle Bay South
130085,Richmond Hill,Steinway
130160,Glendale,Sunnyside
130171,Queens Village,Queensbridge/Ravenswood
130206,Bedford Park,Bronx Park
130233,Riverdale/North Riverdale/Fieldston,JFK Airport
130249,JFK Airport,Richmond Hill
130366,Kew Gardens Hills,South Ozone Park
130368,Briarwood/Jamaica Hills,Long Island City/Queens Plaza
130370,Jamaica,Lower East Side
130376,North Corona,Jamaica
130377,Sheepshead Bay,Borough Park
130488,Bloomingdale,Stuy Town/Peter Cooper Village
130503,Downtown Brooklyn/MetroTech,Brighton Beach
130561,Bedford Park,Longwood
130604,Sunnyside,Manhattan Valley
130649,Midwood,Flatbush/Ditmas Park
130682,Old Astoria,Richmond Hill
130689,East Harlem North,Hollis
130773,JFK Airport,Baisley Park
130835,Parkchester,Allerton/Pelham Gardens
131041,Kew Gardens,Bedford Park
131049,Flushing Meadows-Corona Park,Jamaica Estates
131097,Coney Island,Manhattan Beach
131184,Bedford,Prospect Park
131316,Newark Airport,Newark Airport
131391,East Flatbush/Farragut,Borough Park
131395,Old Astoria,Woodhaven
131540,North Corona,Willets Point
131603,Canarsie,Sheepshead Bay
131605,Fort Greene,Crotona Park East
131641,Long Island City/Queens Plaza,Corona
131799,Williamsburg (South Side),Upper West Side South
131836,Central Park,Bronxdale
131860,Long Island City/Hunters Point,Elmhurst
131865,East Flatbush/Remsen Village,Forest Park/Highland Park
131915,Jackson Heights,Fort Greene
131917,Hamilton Heights,Crown Heights North
131994,Randalls Island,Central Harlem
132002,Greenpoint,Gowanus
132041,Elmhurst/Maspeth,South Jamaica
132053,Bedford,Sunnyside
132087,Ozone Park,Elmhurst
132098,Central Harlem,Elmhurst/Maspeth
132168,Mott Haven/Port Morris,Two Bridges/Seward Park
132205,Forest Hills,Borough Park
132278,Central Park,Seaport
132286,Central Harlem,East Williamsburg
132309,University Heights/Morris Heights,LaGuardia Airport
132430,Longwood,West Concourse
132447,Sunnyside,Washington Heights South
132629,Kew Gardens,Chinatown
132635,Morningside Heights,East Elmhurst
132642,Bensonhurst West,Sunset Park East
132664,Soundview/Castle Hill,Van Nest/Morris Park
132665,Corona,Garment District
132666,Rosedale,Jamaica
132699,Jamaica,South Williamsburg
132770,Park Slope,Financial District South
132793,Central Harlem North,Newark Airport
132829,University Heights/Morris Heights,Downtown Brooklyn/MetroTech
132843,East Harlem North,Astoria Park
132853,East Tremont,Hamilton Heights
132920,Elmhurst,Brighton Beach
133017,Crown Heights North,LaGuardia Airport
133055,Morningside Heights,South Williamsburg
133091,Marine Park/Floyd Bennett Field,Sheepshead Bay
133124,DUMBO/Vinegar Hill,Co-Op City
133140,Longwood,Soundview/Castle Hill
133195,Jackson Heights,Ozone Park
133202,Middle Village,Jackson Heights
133379,Kingsbridge Heights,Bedford Park
133390,Jamaica Estates,Jackson Heights
133391,Brooklyn Heights,Woodhaven
133419,Old Astoria,East Concourse/Concourse Village
133424,Brooklyn Heights,Kingsbridge Heights
133465,Astoria,Parkchester
133510,Brownsville,East Flatbush/Remsen Village
133511,Red Hook,Flatbush/Ditmas Park
133555,Flushing,Baisley Park
133598,Westchester Village/Unionport,Co-Op City
133599,Co-Op City,Claremont/Bathgate
133671,Clinton Hill,Highbridge
133701,Homecrest,Bensonhurst East
133928,Sunset Park West,Flatbush/Ditmas Park
133961,Fort Greene,Manhattanville
133984,Claremont/Bathgate,Soundview/Castle Hill
134004,East Tremont,Mott Haven/Port Morris
134079,Hamilton Heights,Chinatown
134097,Queensbridge/Ravenswood,Washington Heights North
134122,Upper East Side North,Jackson Heights
134167,East Harlem South,Bronx Park
134245,Washington Heights South,Hudson Sq
134327,Erasmus,Midwood
134353,Bushwick South,Stuyvesant Heights
134409,Hamilton Heights,Williamsbridge/Olinville
134431,Sunnyside,Howard Beach
134432,Queensbridge/Ravenswood,Midtown North
134520,Long Island City/Hunters Point,Gravesend
134565,Williamsburg (North Side),Erasmus
134585,Kingsbridge Heights,Washington Heights South
134596,Williamsburg (North Side),Lenox Hill East
134607,Kingsbridge Heights,East Harlem North
134613,Bushwick North,Long Island City/Hunters Point
134639,Highbridge,Morrisania/Melrose
134640,Greenpoint,Times Sq/Theatre District
134642,Long Island City/Queens Plaza,Hillcrest/Pomonok
134650,Maspeth,Bloomingdale
134657,Sunnyside,Financial District South
134665,East Williamsburg,Randalls Island
134729,Maspeth,Murray Hill-Queens
134762,Morningside Heights,Parkchester
134791,Central Harlem,DUMBO/Vinegar Hill
134818,Washington Heights North,Penn Station/Madison Sq West
134955,Sheepshead Bay,Two Bridges/Seward Park
135140,Flatlands,East Flatbush/Farragut
135196,Windsor Terrace,Brooklyn Heights
135207,Coney Island,Boerum Hill
135226,East New York/Pennsylvania Avenue,Brownsville
135264,Schuylerville/Edgewater Park,Bedford Park
135437,Highbridge,Spuyten Duyvil/Kingsbridge
135453,Gowanus,Coney Island
135473,Central Harlem,Financial District North
135484,East Harlem South,East Flushing
135550,Cobble Hill,Penn Station/Madison Sq West
135562,Washington Heights South,East Elmhurst
135617,Laurelton,Richmond Hill
135627,East Flatbush/Remsen Village,Bedford
135749,Forest Hills,Schuylerville/Edgewater Park
135761,East Tremont,Soundview/Castle Hill
135778,Crown Heights North,Canarsie
135800,Yorkville East,Lenox Hill East
135887,Soundview/Castle Hill,East Tremont
135932,Steinway,Soundview/Castle Hill
136018,Parkchester,Co-Op City
136105,Allerton/Pelham Gardens,West Concourse
136108,Sheepshead Bay,Gramercy
136150,Bay Ridge,Homecrest
136160,Williamsburg (South Side),Upper East Side South
136197,Williamsburg (North Side),Garment District
136209,Elmhurst,University Heights/Morris Heights
136223,Boerum Hill,Sunnyside
136248,Greenpoint,Meatpacking/West Village West
136259,Carroll Gardens,Bay Ridge
136273,Saint George/New Brighton,Times Sq/Theatre District
136282,Park Slope,Battery Park City
136359,East Williamsburg,Bay Ridge
136365,Greenpoint,Kips Bay
136405,College Point,Midtown East
136428,JFK Airport,Sutton Place/Turtle Bay North
136437,Elmhurst/Maspeth,Bushwick South
136443,Ocean Hill,Cypress Hills
136452,Yorkville West,Midtown Center
136474,Jackson Heights,Central Harlem
136529,Flushing,Upper West Side South
136584,Sunnyside,Park Slope
136586,Marble Hill,West Village
136623,Brighton Beach,Brighton Beach
136629,Crown Heights South,Bushwick South
136695,Pelham Bay,Williamsbridge/Olinville
136726,Jamaica Estates,South Ozone Park
136790,Williamsbridge/Olinville,Pelham Bay
136817,Rego Park,Red Hook
136895,Manhattan Beach,Bensonhurst West
136896,Steinway,West Concourse
136919,Forest Hills,Financial District South
136950,East Flatbush/Remsen Village,East Flatbush/Remsen Village
137230,Flushing,Long Island City/Hunters Point
137288,JFK Airport,West Chelsea/Hudson Yards
137307,Park Slope,Bushwick North
137328,East New York/Pennsylvania Avenue,JFK Airport
137364,Yorkville East,LaGuardia Airport
137393,Borough Park,Brighton Beach
137402,Jamaica,Hudson Sq
137427,Prospect Park,Gowanus
137452,Midwood,Ocean Parkway South
137481,Williamsbridge/Olinville,Belmont
137486,Coney Island,Midtown North
137522,Fort Greene,Old Astoria
137601,Jamaica,DUMBO/Vinegar Hill
137657,Washington Heights South,Baisley Park
137682,Williamsburg (North Side),Yorkville East
137882,Marble Hill,Van Cortlandt Village
137898,Woodside,Prospect Heights
137927,East Williamsburg,Upper West Side South
137993,Woodside,Mott Haven/Port Morris
138003,Jackson Heights,Manhattanville
138010,Canarsie,Coney Island
138017,Carroll Gardens,LaGuardia Airport
138028,South Ozone Park,TriBeCa/Civic Center
138272,Kensington,Kips Bay
138314,Jackson Heights,Columbia Street
138376,Van Cortlandt Village,Woodlawn/Wakefield
138390,Randalls Island,Ocean Hill
138455,Briarwood/Jamaica Hills,Glendale
138501,Bay Ridge,Williamsburg (South Side)
138513,Brownsville,Flushing Meadows-Corona Park
138542,Roosevelt Island,Murray Hill
138567,Melrose South,Co-Op City
138624,Flatbush/Ditmas Park,Bushwick South
138657,Williamsbridge/Olinville,Claremont/Bathgate
138668,Bronxdale,Bedford Park
138741,East Elmhurst,East Williamsburg
138748,Washington Heights South,Bay Ridge
138857,East Tremont,Longwood
138983,Borough Park,Flatbush/Ditmas Park
139092,Park Slope,Hudson Sq
139144,JFK Airport,Fort Greene
139171,Queensbridge/Ravenswood,SoHo
139177,Brighton Beach,Kensington
139201,Astoria,Highbridge
139259,Erasmus,Crown Heights South
139263,Crown Heights North,Midwood
139336,East Harlem South,Bloomfield/Emerson Hill
139357,Crown Heights North,Forest Hills
139501,Claremont/Bathgate,Norwood
139505,Rego Park,Glen Oaks
139525,Midwood,Brighton Beach
139544,East Harlem South,Crotona Park
139587,Bedford,East New York
139678,Jamaica,Brownsville
139716,Park Slope,Upper West Side South
139750,Flatbush/Ditmas Park,Forest Hills
139878,Clinton Hill,Gramercy
139886,Kew Gardens,Van Cortlandt Village
139889,Bloomingdale,Crotona Park East
139913,Woodside,West Concourse
139922,Fordham South,Yorkville East
139926,Elmhurst/Maspeth,Manhattan Valley
139956,Old Astoria,TriBeCa/Civic Center
139960,Flatlands,Midtown East
139999,Flatbush/Ditmas Park,Bensonhurst West
140049,Manhattanville,Inwood Hill Park
140050,West Concourse,Midtown North
140078,Upper East Side North,Battery Park City
140097,Baisley Park,University Heights/Morris Heights
140098,Kew Gardens,Prospect-Lefferts Gardens
140149,Bloomingdale,Mount Hope
140165,Clinton Hill,Jackson Heights
140218,Bloomingdale,Flushing
140243,Rego Park,Greenwich Village North
140266,South Williamsburg,East Chelsea
140293,Saint Michaels Cemetery/Woodside,Forest Hills
140450,Sheepshead Bay,Forest Hills
140574,Queensbridge/Ravenswood,Brighton Beach
140620,Long Island City/Queens Plaza,Clinton West
140642,Forest Hills,Manhattan Beach
140658,Inwood,East Williamsburg
140735,Manhattanville,Woodside
140766,Roosevelt Island,Long Island City/Queens Plaza
140881,Clinton Hill,Newark Airport
140934,Woodside,Downtown Brooklyn/MetroTech
140972,Sunset Park West,Windsor Terrace
141016,Rego Park,Crown Heights South
141095,Crotona Park,Crotona Park
141147,Rosedale,South Jamaica
141165,Highbridge Park,Upper East Side North
141191,Steinway,Woodhaven
141261,Jamaica Estates,Auburndale
141354,Clinton Hill,Old Astoria
141371,Parkchester,Crotona Park East
141636,Carroll Gardens,East Williamsburg
141639,Flushing,Alphabet City
141725,Flushing,West Farms/Bronx River
141735,East Williamsburg,DUMBO/Vinegar Hill
141776,Williamsburg (South Side),Boerum Hill
141784,Park Slope,Sunnyside
141797,Morrisania/Melrose,Stuy Town/Peter Cooper Village
141840,Boerum Hill,University Heights/Morris Heights
141860,Columbia Street,Murray Hill
141880,Fordham South,Hamilton Heights
141889,Forest Hills,World Trade Center
141929,Sheepshead Bay,East Flatbush/Farragut
141957,Pelham Parkway,Eastchester
142184,Hamilton Heights,Greenpoint
142220,Baisley Park,South Jamaica
142389,Central Harlem North,Financial District South
142426,Jackson Heights,Auburndale
142457,Morningside Heights,Norwood
142605,Bay Ridge,Lincoln Square East
142637,Flatbush/Ditmas Park,Kensington
142646,Jamaica Estates,Rego Park
142669,Long Island City/Hunters Point,North Corona
142689,Briarwood/Jamaica Hills,Rego Park
142699,Greenpoint,Hamilton Heights
142822,Kingsbridge Heights,Mount Hope
142826,Elmhurst/Maspeth,Brooklyn Navy Yard
142879,Morningside Heights,Bayside
142897,North Corona,Brownsville
142932,Flatbush/Ditmas Park,Boerum Hill
142948,Queens Village,Jamaica Estates
142994,Claremont/Bathgate,College Point
143096,Brooklyn Heights,Bath Beach
143160,Hillcrest/Pomonok,South Jamaica
143199,Van Nest/Morris Park,Bronxdale
143201,Fort Greene,East Elmhurst
143233,Van Cortlandt Village,Parkchester
143325,Springfield Gardens North,Corona
143338,Whitestone,Fresh Meadows
143372,Pelham Parkway,Yorkville East
143444,Mott Haven/Port Morris,Inwood
143499,South Ozone Park,Forest Hills
143568,Brooklyn Heights,Mott Haven/Port Morris
