,pickup_zone,drop_zone
330,East Harlem South,Lincoln Square West
331,Central Harlem,East Village
334,East Harlem North,LaGuardia Airport
336,Morningside Heights,TriBeCa/Civic Center
338,East Harlem North,Washington Heights South
339,East Harlem North,Upper West Side South
340,Fort Greene,Downtown Brooklyn/MetroTech
344,Bloomingdale,Manhattan Valley
346,Astoria,Times Sq/Theatre District
348,Brownsville,Cypress Hills
349,East Harlem North,Lincoln Square East
350,Manhattanville,Flatiron
351,Astoria,Williamsburg (North Side)
352,Jamaica,Springfield Gardens South
353,Jamaica,Richmond Hill
354,Jamaica,Jackson Heights
357,Downtown Brooklyn/MetroTech,Crown Heights South
358,Central Harlem North,East Harlem South
361,Jamaica,South Ozone Park
362,East Harlem North,Lenox Hill West
363,Sunnyside,Woodside
364,East Harlem North,Hamilton Heights
365,Morningside Heights,Central Harlem North
367,Washington Heights South,Marble Hill
368,Elmhurst,LaGuardia Airport
370,Elmhurst,Long Island City/Queens Plaza
378,East Concourse/Concourse Village,Central Harlem North
380,Morningside Heights,East Harlem North
381,Washington Heights South,Central Harlem North
382,Hamilton Heights,Central Harlem North
385,East Harlem South,Two Bridges/Seward Park
390,Brooklyn Heights,Red Hook
392,Jackson Heights,Steinway
395,Prospect Heights,LaGuardia Airport
396,East Harlem North,Morningside Heights
397,Murray Hill-Queens,Jamaica
399,Central Park,Murray Hill
402,Manhattanville,Upper West Side South
403,East Harlem South,Midtown East
404,Long Island City/Hunters Point,Queensbridge/Ravenswood
405,Central Harlem,Upper East Side South
407,Rego Park,Fresh Meadows
408,Manhattanville,Lincoln Square West
411,Forest Hills,Corona
412,Bloomingdale,East Harlem North
413,East Harlem North,Two Bridges/Seward Park
414,East Concourse/Concourse Village,East Concourse/Concourse Village
419,Central Harlem,Newark Airport
423,Manhattanville,Manhattan Valley
427,Elmhurst,Forest Hills
428,Fort Greene,Clinton Hill
429,East Harlem North,Times Sq/Theatre District
431,Manhattanville,Lincoln Square East
432,Central Harlem North,East Harlem North
433,Flushing,LaGuardia Airport
434,Brooklyn Heights,Brooklyn Heights
435,Brooklyn Heights,World Trade Center
436,East Harlem North,Greenwich Village North
439,Astoria,Yorkville West
441,Elmhurst,Elmhurst
442,Forest Hills,Woodhaven
445,Downtown Brooklyn/MetroTech,Stuyvesant Heights
446,Central Harlem,Gramercy
448,Long Island City/Queens Plaza,Jackson Heights
450,Central Park,Manhattan Valley
452,DUMBO/Vinegar Hill,Williamsburg (South Side)
453,East Harlem North,Kips Bay
455,Fort Greene,Stuyvesant Heights
458,Central Harlem North,Lenox Hill East
463,Elmhurst,Old Astoria
467,East Williamsburg,Hillcrest/Pomonok
468,Forest Hills,Bellerose
